month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
11-Jan,"11,081,519","-907,470","10,174,049.00","4,281,160","6,100,981","699,377","12,056","1,190,186","-3,226.00","31,293","3,053,839","-2,988.00","6,836","273,714","419,020","3,756,090","634,871","658,666","167,158","141,863","464,696","-4,037.00","-551,139.00","-298,187.00","-13,151","-7,428"
11-Feb,"10,570,334","-1,010,470","9,559,864.00","4,207,686","5,685,608","677,040","251,946","488,099","-3,436.00","1,912,296","1,661,253","-102,472.00","26,267","244,861","405,081","3,653,799","358,397","720,318","191,417","66,228","296,940","-6,413.00","-664,986.00","-273,182.00","-16,505","-8,353"
11-Mar,"9,596,636","-953,906","8,642,730.00","3,533,656","5,368,046","694,934","555,017","344,126","-2,372.00","1,922,680","720,575","-6,370.00","3,842","321,486","367,868","3,721,206","336,962","594,330","189,816","70,194","132,483","-11,453.00","-677,124.00","-211,401.00","-18,159","-8,273"
11-Apr,"9,496,037","-757,256","8,738,781.00","3,403,496","5,478,975","613,566","291,440","275,978","-2,830.00","2,333,572","508,592","-3,256.00","7,102","221,431","386,262","3,764,368","353,946","627,771","231,289","70,805","171,769","-3,404.00","-562,358.00","-150,275.00","-15,607","-11,813"
11-May,"10,195,814","-642,718","9,553,096.00","3,617,010","5,821,885","756,918","633,845","267,264","-4,096.00","2,139,535","587,004","-6,542.00","5,088","348,888","403,646","3,867,948","433,497","686,744","244,801","70,581","308,480","-3,724.00","-325,417.00","-248,800.00","-21,142","-10,710"
11-Jun,"8,910,577","-1,149,372","7,761,205.00","3,315,185","4,873,014","722,379","310,090","256,981","-5,896.00","2,310,490","447,186","-3,666.00","4,917","328,020","387,001","3,079,195","315,880","639,322","221,644","65,881","341,339","-5,129.00","-724,442.00","-381,663.00","-12,490","-8,847"
11-Jul,"10,484,049","-878,067","9,605,982.00","3,739,298","5,981,520","763,230","654,927","618,580","-2,299.00","2,066,369","405,404","-3,683.00","8,375","347,979","406,721","3,922,621","359,140","900,466","196,457","75,106","289,684","-15,827.00","-386,792.00","-429,440.00","-29,081","-10,538"
11-Aug,"9,072,867","-983,102","8,089,765.00","3,143,461","5,230,430","698,976","308,828","318,791","-3,594.00","2,069,540","454,206","-4,310.00","7,880","333,944","358,023","3,428,881","308,036","722,887","207,704","77,618","326,701","-31,467.00","-405,187.00","-496,121.00","-33,274","-16,814"
11-Sep,"9,116,972","-1,106,130","8,010,842.00","3,287,247","5,281,592","548,133","652,487","309,659","-36,734.00","1,959,358","410,528","-8,051.00","1,948","232,848","313,159","3,588,178","399,037","719,763","133,964","76,096","129,373","-3,813.00","-633,643.00","-416,689.00","-24,831","-7,407"
11-Oct,"8,433,121","-562,162","7,870,959.00","2,754,657","5,189,043","489,422","284,116","240,777","-5,756.00","1,784,250","454,583","-3,313.00","5,055","205,176","275,553","3,403,513","310,941","696,389","180,783","78,547","308,311","-6,758.00","-241,629.00","-256,655.00","-34,795","-12,615"
11-Nov,"8,786,277","-849,847","7,936,430.00","2,982,577","5,322,241","481,457","609,747","247,114","-2,739.00","1,733,666","401,708","-6,919.00","3,529","199,697","278,962","3,516,380","329,424","657,753","207,212","82,038","315,324","-3,287.00","-435,292.00","-344,434.00","-30,193","-10,252"
11-Dec,"9,455,014","-861,345","8,593,669.00","2,885,600","5,998,500","570,913","351,250","402,928","-10,629.00","1,473,527","672,132","-3,608.00","6,256","298,659","262,960","3,398,378","358,033","705,911","188,027","83,776","1,068,190","-5,709.00","-422,870.00","-385,322.00","-19,630","-11,749"
12-Jan,"14,887,673","-1,602,058","13,285,615.00","4,260,065","10,108,568","519,040","3,660","1,835,012","-6,971.00","32,298","2,401,637","-5,571.00","4,228","220,740","293,669","4,088,469","591,234","746,783","152,795","137,542","3,957,357","-28,471.00","-1,110,852.00","-369,861.00","-66,257","-17,427"
12-Feb,"9,651,253","-753,100","8,898,153.00","3,862,101","5,190,778","598,374","249,057","678,554","-12,265.00","1,774,953","1,187,630","-15,828.00","3,852","283,570","310,025","3,516,844","335,872","744,412","192,645","63,880","51,718","-6,459.00","-434,198.00","-237,724.00","-36,443","-11,033"
12-Mar,"9,450,590","-1,003,209","8,447,381.00","3,567,543","5,371,987","511,060","588,124","380,182","-3,421.00","2,106,419","523,024","-26,785.00","3,908","200,080","305,989","3,680,393","326,492","767,267","148,327","73,047","121,359","-28,024.00","-680,526.00","-206,882.00","-62,656","-19,834"
12-Apr,"9,224,445","-599,833","8,624,612.00","3,207,958","5,592,099","424,388","294,070","232,529","-3,811.00","2,189,698","500,090","-4,618.00","12,952","149,745","262,004","3,798,472","327,776","652,157","224,347","71,685","277,171","-5,009.00","-369,754.00","-149,650.00","-32,942","-12,232"
12-May,"9,835,545","-951,449","8,884,096.00","3,516,386","5,650,815","668,342","641,392","297,076","-3,592.00","2,171,944","412,857","-3,291.00","4,672","294,297","369,838","3,701,420","465,790","644,862","288,728","76,800","218,852","-4,059.00","-581,776.00","-302,643.00","-20,392","-12,260"
12-Jun,"9,073,046","-932,236","8,140,810.00","3,572,808","5,001,225","499,013","346,348","420,410","-6,266.00","2,077,642","739,947","-5,273.00","3,775","212,336","285,897","3,140,476","433,184","754,186","215,735","68,420","178,684","-5,777.00","-454,480.00","-389,416.00","-47,594","-10,127"
12-Jul,"10,516,232","-1,165,090","9,351,142.00","3,613,781","6,293,356","609,094","669,684","370,197","-3,096.00","2,152,219","428,434","-3,657.00","7,018","201,691","402,701","4,113,351","439,253","883,281","197,120","82,020","382,314","-4,317.00","-549,135.00","-518,565.00","-43,461","-26,912"
12-Aug,"9,144,798","-1,161,980","7,982,818.00","3,352,574","5,218,540","573,684","368,617","365,991","-5,315.00","2,208,530","428,211","-13,460.00","3,925","205,080","365,118","3,489,620","351,966","754,115","213,768","77,847","147,116","-5,795.00","-622,114.00","-447,081.00","-37,677","-16,893"
12-Sep,"9,629,078","-818,368","8,810,710.00","3,697,950","5,418,772","512,357","686,797","249,973","-8,214.00","2,231,689","564,616","-26,911.00","3,078","217,429","298,184","3,759,764","360,339","684,920","213,118","75,194","96,156","-2,117.00","-436,627.00","-331,250.00","-23,002","-9,361"
12-Oct,"8,633,715","-781,530","7,852,185.00","2,814,487","5,275,428","543,799","276,899","220,228","-7,702.00","1,949,234","380,601","-4,773.00","2,027","201,260","341,495","3,413,453","314,585","834,758","156,824","74,557","330,408","-31,790.00","-377,057.00","-328,839.00","-44,284","-11,232"
12-Nov,"9,788,762","-893,337","8,895,425.00","3,287,490","5,962,823","538,449","619,707","296,176","-8,988.00","2,037,266","345,903","-2,574.00","4,950","192,394","341,934","3,996,173","498,830","855,231","215,476","89,446","108,386","-6,383.00","-415,687.00","-405,062.00","-32,734","-14,411"
12-Dec,"10,533,277","-773,362","9,759,915.00","3,040,023","6,939,391","553,864","312,176","453,530","-7,630.00","1,593,092","692,717","-3,862.00","4,842","214,462","338,889","3,541,665","378,085","877,309","182,636","87,539","1,874,999","-229,948.00","-351,002.00","-348,807.00","-30,963","-10,186"
13-Jan,"12,780,638","-1,232,545","11,548,093.00","4,441,382","7,667,358","671,898","23,502","1,448,721","-2,897.00","204,990","2,770,182","-3,116.00","6,457","262,022","406,084","4,284,954","822,695","776,615","158,137","136,936","1,317,217","-3,118.00","-743,311.00","-371,251.00","-36,852","-16,330"
13-Feb,"10,766,988","-2,315,584","8,451,404.00","4,466,700","5,611,730","688,557","265,386","921,024","-6,829.00","1,994,326","1,376,580","-83,787.00","4,913","284,410","400,424","3,827,265","338,400","806,525","209,708","65,827","69,592","-7,179.00","-1,838,897.00","-361,302.00","-36,214","-14,773"
13-Mar,"10,190,956","-1,501,011","8,689,945.00","3,708,497","5,890,031","592,429","594,938","340,700","-2,638.00","2,021,640","756,977","-3,120.00","4,028","220,703","366,845","4,034,653","402,118","775,729","231,240","69,843","58,143","-2,038.00","-1,197,444.00","-236,854.00","-30,067","-14,066"
13-Apr,"10,239,020","-869,213","9,369,807.00","3,427,842","6,099,965","711,213","325,195","276,460","-4,230.00","2,309,568","524,925","-4,076.00","6,666","308,598","394,591","4,156,236","380,215","741,378","259,114","68,736","219,095","-4,728.00","-548,352.00","-232,153.00","-45,853","-16,378"
13-May,"12,534,384","-950,139","11,584,245.00","5,459,970","6,346,950","727,464","706,090","281,723","-4,919.00","2,206,255","2,273,397","-2,576.00","6,666","269,864","451,413","4,046,979","640,714","763,551","303,127","69,328","189,754","-3,400.00","-546,592.00","-313,842.00","-41,472","-17,193"
13-Jun,"10,422,017","-830,424","9,591,593.00","4,313,647","5,435,266","673,104","369,095","327,296","-4,557.00","2,292,216","1,332,094","-2,497.00","5,608","269,128","400,721","3,398,949","357,438","782,079","233,802","66,191","102,634","-7,282.00","-349,581.00","-382,682.00","-54,846","-13,375"
13-Jul,"12,408,797","-1,116,458","11,292,339.00","4,940,762","6,754,941","713,093","753,325","430,261","-3,600.00","2,191,970","1,574,662","-5,856.00","8,658","236,784","466,736","4,422,278","370,552","999,819","213,723","75,385","312,825","-6,547.00","-503,519.00","-520,548.00","-46,187","-16,976"
13-Aug,"10,510,313","-983,556","9,526,757.00","4,045,754","5,811,424","653,135","368,048","410,126","-4,397.00","2,316,844","957,867","-2,734.00","3,648","286,885","364,428","3,788,496","417,552","853,273","244,167","77,117","191,820","-24,699.00","-422,425.00","-475,525.00","-44,892","-14,408"
13-Sep,"10,248,603","-644,403","9,604,200.00","3,811,958","5,894,322","542,322","742,341","266,077","-2,225.00","2,217,612","595,653","-7,500.00","6,276","218,883","319,449","4,034,062","435,770","728,307","238,848","76,684","116,158","-19,481.00","-306,018.00","-306,526.00","-17,600","-4,196"
13-Oct,"10,620,769","-1,094,233","9,526,536.00","3,955,500","6,070,789","594,479","411,280","350,040","-5,379.00","2,491,440","711,230","-3,111.00","4,230","207,384","387,256","3,812,591","468,018","823,247","213,793","77,254","288,588","-7,300.00","-562,287.00","-419,078.00","-34,575","-17,558"
13-Nov,"11,737,474","-1,052,717","10,684,757.00","5,240,410","5,947,946","549,118","702,315","397,241","-2,567.00","2,693,340","1,454,281","-4,200.00","3,815","207,119","340,832","3,836,426","506,607","776,295","209,533","79,923","206,048","-4,346.00","-566,270.00","-395,731.00","-35,550","-14,145"
13-Dec,"13,328,153","-1,424,793","11,903,360.00","6,127,269","6,525,469","675,415","354,480","430,611","-10,094.00","1,539,829","3,819,492","-7,049.00","2,488","257,251","414,704","3,544,562","418,708","869,171","158,979","79,676","1,136,649","-12,331.00","-884,008.00","-465,358.00","-34,549","-20,073"
14-Jan,"14,565,299","-1,307,566","13,257,733.00","6,414,137","7,450,926","700,236","14,477","1,650,206","-9,994.00","108,647","4,652,981","-2,180.00","3,083","268,399","430,292","4,491,713","517,620","809,745","256,538","149,374","910,630","-11,546.00","-851,495.00","-391,512.00","-25,303","-13,749"
14-Feb,"10,958,757","-890,927","10,067,830.00","4,229,623","5,869,274","859,861","351,854","500,961","-3,690.00","2,040,456","1,356,133","-16,091.00","3,343","335,028","522,388","4,073,745","395,867","852,878","196,131","67,796","178,998","-272,838.00","-551,272.00","-246,699.00","-37,261","-14,789"
14-Mar,"11,439,950","-1,084,576","10,355,374.00","4,333,856","6,409,073","697,022","650,075","353,145","-3,025.00","2,363,123","996,389","-25,851.00","3,470","252,116","440,262","4,356,326","435,891","843,750","245,120","81,569","91,877","-8,616.00","-754,830.00","-222,432.00","-50,890","-18,677"
14-Apr,"11,442,517","-528,390","10,914,127.00","3,849,419","6,979,841","613,256","332,325","609,078","-2,595.00","2,417,231","495,839","-2,459.00","6,427","233,184","377,246","4,576,057","396,149","806,680","251,108","73,389","369,157","-5,403.00","-310,725.00","-164,164.00","-23,878","-7,630"
14-May,"11,425,699","-789,001","10,636,698.00","3,937,374","6,724,066","764,259","697,867","428,994","-3,357.00","2,396,885","420,760","-3,775.00","4,219","315,447","446,691","4,431,034","486,023","862,983","271,128","69,821","190,303","-5,716.00","-401,676.00","-274,113.00","-47,727","-19,583"
14-Jun,"9,789,468","-945,067","8,844,401.00","3,523,191","5,575,220","691,057","353,431","360,874","-5,716.00","2,383,317","438,757","-7,472.00","5,488","270,573","415,554","3,482,004","377,419","872,493","220,402","66,261","169,516","-7,388.00","-537,148.00","-323,210.00","-34,053","-23,096"
14-Jul,"12,804,446","-1,041,044","11,763,402.00","4,848,367","7,208,283","747,797","781,960","506,820","-4,422.00","2,354,170","1,214,956","-5,117.00","16,758","267,650","463,553","4,722,662","474,882","1,091,705","205,650","73,923","290,734","-63,589.00","-471,600.00","-491,913.00","-40,183","-15,363"
14-Aug,"11,821,360","-885,909","10,935,451.00","4,733,624","6,339,927","747,808","410,879","771,648","-2,537.00","2,632,660","922,862","-1,888.00","6,655","274,873","467,456","4,169,319","488,502","928,921","234,162","78,341","178,061","-13,032.00","-364,625.00","-445,616.00","-43,085","-12,085"
14-Sep,"11,048,809","-1,553,908","9,494,901.00","4,067,864","6,371,127","609,818","743,486","463,913","-4,235.00","2,338,942","529,968","-4,210.00","3,382","230,178","377,583","4,372,315","470,661","880,118","130,158","73,265","162,553","-3,360.00","-1,084,490.00","-391,957.00","-44,481","-17,225"
14-Oct,"11,193,898","-714,457","10,479,441.00","4,207,370","6,423,958","562,570","389,593","357,046","-4,594.00","2,510,968","956,828","-2,471.00","2,936","219,024","340,987","4,055,109","432,095","995,845","92,802","72,877","328,358","-4,960.00","-341,622.00","-306,454.00","-29,131","-11,890"
14-Nov,"10,535,184","-776,973","9,758,211.00","3,692,162","6,147,497","695,525","721,455","410,961","-3,332.00","2,176,056","389,914","-2,892.00","26,051","224,842","446,367","4,114,287","432,470","855,689","174,663","76,285","152,039","-4,604.00","-362,682.00","-341,505.00","-34,267","-11,547"
14-Dec,"10,643,643","-931,632","9,712,011.00","3,902,393","6,007,294","733,956","406,350","504,860","-7,810.00","1,736,196","1,273,472","-10,675.00","17,548","284,044","432,530","3,782,731","500,415","943,117","150,541","81,080","289,205","-30,365.00","-475,806.00","-363,274.00","-40,240","-16,719"
15-Jan,"15,264,074","-960,324","14,303,750.00","5,591,407","8,880,657","792,009","18,325","1,912,002","-5,003.00","88,750","3,583,234","-5,901.00","3,871","282,648","506,223","4,732,366","1,054,514","748,071","244,013","137,253","1,592,820","-6,172.00","-521,954.00","-351,894.00","-48,200","-15,659"
15-Feb,"11,787,192","-1,185,301","10,601,891.00","4,238,826","6,679,813","868,554","328,108","759,537","-7,628.00","2,334,823","831,745","-7,759.00","6,135","323,746","539,665","4,540,028","378,925","839,997","302,944","67,398","133,442","-37,332.00","-759,342.00","-301,066.00","-38,875","-16,434"
15-Mar,"12,694,244","-1,169,718","11,524,526.00","4,726,625","7,064,444","903,175","721,772","767,184","-2,823.00","2,317,649","929,420","-6,577.00","3,413","326,615","573,289","4,650,554","707,881","876,094","260,340","70,046","140,823","-10,673.00","-816,018.00","-260,777.00","-41,259","-30,276"
15-Apr,"12,560,875","-845,151","11,715,724.00","4,349,027","7,390,896","820,952","378,859","764,077","-3,218.00","2,416,989","795,490","-3,170.00","7,259","276,946","538,122","5,030,574","488,420","832,719","169,349","76,301","296,112","-8,615.00","-584,785.00","-186,061.00","-38,170","-20,130"
15-May,"12,752,035","-1,355,156","11,396,879.00","4,309,327","7,509,281","933,428","771,113","504,964","-5,124.00","2,478,905","570,358","-10,889.00","3,135","356,261","579,830","4,602,379","929,799","846,863","301,976","69,769","272,616","-4,016.00","-963,311.00","-282,793.00","-30,460","-11,261"
15-Jun,"11,344,684","-1,157,097","10,187,587.00","3,954,376","6,369,008","1,021,300","403,660","655,693","-2,290.00","2,327,349","577,204","-7,240.00","8,533","381,681","633,306","3,899,739","504,935","848,597","247,197","73,190","210,676","-19,623.00","-632,715.00","-423,367.00","-43,690","-30,943"
15-Jul,"14,691,803","-1,080,240","13,611,563.00","5,570,453","7,949,203","1,172,146","834,748","627,500","-16,484.00","2,747,455","1,381,542","-4,308.00","8,395","466,236","699,517","5,245,974","595,922","986,759","268,340","79,243","390,359","-8,963.00","-507,168.00","-497,130.00","-36,968","-18,344"
15-Aug,"12,964,579","-1,044,148","11,920,431.00","4,964,907","6,607,397","1,392,274","431,200","645,768","-3,653.00","2,985,522","909,046","-2,976.00","2,760","498,648","895,215","4,336,110","470,764","993,694","193,926","70,060","253,708","-7,854.00","-505,515.00","-463,200.00","-39,875","-19,483"
15-Sep,"12,310,594","-637,302","11,673,292.00","4,595,552","6,830,933","884,109","779,206","988,551","-4,698.00","2,384,118","450,290","-1,915.00","1,538","371,064","511,601","4,668,336","562,069","858,440","241,537","78,411","157,863","-8,836.00","-276,694.00","-293,043.00","-24,438","-18,597"
15-Oct,"11,157,030","-806,426","10,350,604.00","4,001,269","6,346,727","809,034","399,685","536,395","-6,160.00","2,382,826","692,911","-4,388.00","1,329","361,006","449,890","4,262,960","368,434","832,564","233,468","90,557","341,755","-8,787.00","-374,530.00","-371,743.00","-27,919","-13,812"
15-Nov,"12,206,694","-906,447","11,300,247.00","4,652,108","6,705,998","848,588","782,642","679,265","-11,119.00","2,382,682","822,261","-3,623.00","2,233","331,432","518,034","4,587,577","447,594","867,455","220,502","82,810","227,575","-5,978.00","-428,925.00","-381,950.00","-51,209","-25,905"
15-Dec,"11,508,453","-1,492,936","10,015,517.00","4,076,166","6,481,282","951,005","449,182","705,428","-3,627.00","2,047,965","881,597","-4,379.00","3,869","396,244","555,032","4,209,530","461,651","904,938","216,958","88,711","391,610","-13,793.00","-860,349.00","-466,429.00","-116,226","-30,952"
16-Jan,"15,641,270","-1,119,242","14,522,028.00","6,273,212","8,365,438","1,002,620","11,332","2,254,746","-4,187.00","70,057","3,945,127","-3,863.00","2,160","401,767","603,857","4,928,598","735,622","888,641","214,267","146,403","1,285,090","-9,464.00","-657,246.00","-383,425.00","-45,662","-14,921"
16-Feb,"12,433,769","-933,760","11,500,009.00","4,779,368","6,651,454","1,002,948","355,412","820,705","-3,802.00","2,290,188","1,321,785","-4,920.00","1,985","399,409","602,289","4,677,233","379,392","893,472","222,097","67,906","213,351","-7,731.00","-533,912.00","-304,314.00","-44,009","-21,983"
16-Mar,"13,005,613","-1,174,956","11,830,657.00","5,053,669","6,967,673","984,273","807,501","829,892","-4,762.00","2,639,208","790,155","-8,325.00","2,285","396,416","586,160","4,965,952","462,482","910,140","227,731","68,626","158,825","-4,506.00","-786,482.00","-257,589.00","-36,806","-16,750"
16-Apr,"12,629,535","-718,164","11,911,371.00","4,131,235","7,601,077","897,222","407,756","539,374","-8,487.00","2,544,742","666,717","-18,867.00","1,483","395,002","503,246","5,282,475","511,081","823,505","227,645","69,224","392,826","-3,746.00","-432,643.00","-203,277.00","-39,837","-22,528"
16-May,"14,779,668","-2,077,894","12,701,774.00","5,883,194","7,879,949","1,016,526","849,720","663,869","-8,480.00","3,034,539","1,347,889","-4,343.00","2,168","383,634","638,121","5,336,984","773,041","889,581","252,185","79,644","187,246","-21,987.00","-1,822,822.00","-228,843.00","-2,770","-2,297"
16-Jun,"12,131,578","-773,789","11,357,789.00","4,478,657","6,480,698","1,172,224","462,927","868,906","-5,140.00","2,519,068","647,534","-14,638.00","2,478","481,357","691,807","4,144,601","545,034","872,913","212,288","74,516","303,609","-9,741.00","-325,475.00","-350,781.00","-21,419","-9,495"
16-Jul,"14,610,753","-1,107,934","13,502,819.00","5,451,111","8,201,997","957,645","884,834","763,439","-2,806.00","2,937,183","871,439","-2,978.00","3,773","345,787","610,438","5,538,666","548,889","1,155,630","211,932","81,906","410,334","-16,987.00","-474,239.00","-429,506.00","-145,630","-39,522"
16-Aug,"12,263,087","-1,010,096","11,252,991.00","4,339,279","6,767,948","1,155,859","471,239","584,373","-4,990.00","2,686,297","607,373","-5,013.00","1,159","480,347","676,238","4,621,247","475,447","980,609","276,417","71,218","131,104","-8,734.00","-361,020.00","-510,896.00","-72,756","-43,132"
16-Sep,"13,727,726","-1,094,222","12,633,504.00","5,265,483","7,450,806","1,011,437","874,030","800,518","-6,498.00","2,625,414","976,511","-4,492.00","1,052","376,380","640,277","5,060,186","505,364","915,264","254,840","82,811","298,916","-8,058.00","-553,376.00","-427,928.00","-62,805","-35,233"
16-Oct,"7,635,207","-548,642","7,086,565.00","2,756,677","4,260,748","617,781","245,404","423,470","-7,483.00","1,581,074","519,365","-5,153.00",725,"225,293","394,665","2,847,562","220,285","588,924","134,367","46,373","129,017","-6,797.00","-219,840.00","-275,888.00","-24,823","-16,969"
16-Nov,"16,809,663","-938,645","15,871,018.00","5,788,191","10,044,729","976,743","1,010,499","639,121","-14,730.00","3,498,754","677,353","-22,806.00","1,149","410,816","566,875","7,055,016","657,501","1,252,380","306,555","121,521","457,264","-12,138.00","-434,477.00","-437,917.00","-26,552","-18,984"
16-Dec,"12,665,958","-1,267,889","11,398,069.00","5,180,037","6,732,159","753,762","525,221","761,648","-16,963.00","2,467,171","1,464,456","-21,496.00","2,326","376,989","378,834","4,450,769","547,811","831,770","226,859","83,537","347,414","-8,032.00","-707,857.00","-463,180.00","-40,173","-30,246"
17-Jan,"17,626,105","-1,008,064","16,618,041.00","8,068,333","8,377,460","1,180,312","7,319","2,879,287","-16,218.00","224,643","4,992,885","-19,583.00","1,288","518,555","662,687","5,460,573","787,002","831,831","328,587","160,687","548,441","-6,249.00","-511,002.00","-411,480.00","-37,293","-24,962"
17-Feb,"13,834,160","-1,054,870","12,779,290.00","5,222,888","7,528,275","1,082,997","404,122","994,997","-23,443.00","2,507,997","1,348,399","-9,184.00","1,072","431,581","651,542","5,013,371","474,703","848,955","278,827","73,628","473,104","-12,806.00","-616,214.00","-341,073.00","-39,472","-41,002"
17-Mar,"14,493,734","-1,682,904","12,810,830.00","5,475,812","7,867,188","1,150,734","858,331","782,484","-3,644.00","2,707,566","1,134,712","-3,637.00","1,095","492,630","659,272","5,412,649","493,359","979,927","211,455","72,332","401,496","-9,177.00","-1,235,684.00","-282,534.00","-57,117","-38,165"
17-Apr,"14,065,777","-980,497","13,085,280.00","4,669,592","8,646,415","749,771","430,017","536,378","-3,658.00","2,934,673","780,919","-8,737.00",916,"296,625","454,035","5,662,805","573,859","840,787","320,012","79,072","639,854","-33,447.00","-730,930.00","-175,313.00","-40,597","-21,453"
17-May,"14,437,177","-783,438","13,653,739.00","5,344,549","8,099,009","993,618","869,558","618,600","-13,869.00","2,840,993","1,035,506","-6,239.00","2,745","431,036","566,228","5,551,857","581,195","844,593","300,487","78,996","407,586","-5,720.00","-446,805.00","-261,181.00","-37,024","-24,485"
17-Jun,"13,646,671","-1,011,859","12,634,812.00","5,161,205","7,441,231","1,044,234","490,724","779,452","-5,723.00","2,897,745","1,012,183","-13,176.00","2,572","479,717","565,145","4,469,777","612,826","933,599","302,940","75,210","638,478","-37,162.00","-538,549.00","-378,634.00","-43,602","-28,512"
17-Jul,"15,830,599","-1,298,021","14,532,578.00","5,896,678","8,876,940","1,056,980","977,351","951,836","-3,706.00","3,085,069","1,147,329","-261,201.00","2,364","457,668","599,568","5,338,756","611,255","1,099,138","274,220","84,656","992,541","-12,462.00","-705,747.00","-464,969.00","-65,493","-35,285"
17-Aug,"16,615,658","-1,273,963","15,341,695.00","7,167,485","8,324,103","1,124,070","534,119","2,414,325","-7,514.00","2,866,411","1,366,384","-6,240.00","3,538","473,395","649,743","4,833,718","594,037","1,048,839","258,870","79,899","1,175,722","-19,592.00","-654,403.00","-506,089.00","-46,725","-41,493"
17-Sep,"19,182,433","-856,809","18,325,624.00","5,845,957","12,408,933","927,543","1,029,661","1,084,466","-4,919.00","2,921,374","826,410","-11,035.00","1,005","383,946","544,639","6,195,639","886,940","1,071,784","286,588","101,172","3,520,936","-12,691.00","-394,109.00","-385,607.00","-33,592","-22,049"
17-Oct,"20,577,666","-852,693","19,724,973.00","5,624,148","14,086,929","866,589","554,533","1,035,508","-7,760.00","3,099,346","957,678","-15,157.00","1,564","334,980","533,387","5,241,561","614,580","993,118","263,697","88,408","6,517,527","-28,426.00","-403,417.00","-401,611.00","-23,395","-14,108"
17-Nov,"13,530,761","-1,035,218","12,495,543.00","5,068,677","7,445,201","1,016,884","921,500","537,949","-6,253.00","2,881,043","1,007,429","-272,991.00","1,788","459,682","557,828","5,061,275","642,294","975,055","254,972","81,254","101,745","-13,939.00","-464,017.00","-455,259.00","-60,778","-36,780"
17-Dec,"12,559,875","-1,185,939","11,373,936.00","4,648,664","6,934,543","976,668","575,754","1,116,754","-9,846.00","2,051,394","947,896","-33,288.00","2,044","410,422","570,171","4,538,451","669,365","979,209","239,809","88,861","153,554","-12,979.00","-628,476.00","-463,350.00","-48,134","-30,529"
18-Jan,"18,408,941","-1,538,585","16,870,356.00","8,464,050","8,922,011","1,022,880","12,462","3,017,633","-13,477.00","106,676","5,347,921","-7,165.00","1,452","365,388","658,818","5,682,137","1,094,937","878,123","276,342","153,592","562,007","-6,371.00","-944,434.00","-483,882.00","-54,015","-34,641"
18-Feb,"14,391,408","-1,434,574","12,956,834.00","5,622,723","7,740,207","1,028,478","424,802","958,178","-10,559.00","2,570,955","1,771,751","-92,404.00","5,311","451,953","574,828","5,107,347","638,458","1,027,774","281,727","71,048","115,069","-8,561.00","-955,264.00","-387,199.00","-36,006","-29,617"
18-Mar,"15,359,931","-1,166,104","14,193,827.00","6,030,292","8,155,210","1,174,428","912,259","802,357","-10,553.00","2,946,170","1,442,774","-62,715.00","1,096","519,921","653,929","5,746,202","627,200","1,029,564","203,525","71,660","137,275","-15,240.00","-724,546.00","-353,322.00","-44,988","-24,892"
18-Apr,"14,998,257","-1,005,329","13,992,928.00","5,424,411","8,692,514","881,331","537,863","528,150","-6,127.00","3,240,893","1,128,436","-4,804.00","1,382","366,810","516,053","6,178,763","632,310","924,683","277,732","79,602","107,126","-56,219.00","-703,329.00","-232,319.00","-31,763","-21,778"
18-May,"14,551,912","-2,093,842","12,458,070.00","5,102,360","8,343,316","1,106,237","964,922","677,877","-10,892.00","2,764,498","712,360","-6,405.00",691,"510,811","599,663","5,707,647","649,256","1,001,408","343,330","76,962","146,719","-29,524.00","-1,572,579.00","-394,444.00","-37,003","-21,863"
18-Jun,"13,266,563","-1,162,857","12,103,706.00","4,707,108","7,508,122","1,051,333","526,317","549,216","-8,236.00","2,917,411","729,761","-7,361.00","1,321","492,092","559,808","4,862,542","712,769","917,499","324,261","74,224","357,481","-171,569.00","-574,879.00","-493,142.00","-47,151","-33,519"
18-Jul,"16,829,445","-1,404,427","15,425,018.00","6,457,307","9,261,373","1,110,766","1,028,549","830,809","-7,572.00","3,041,364","1,583,839","-19,682.00","1,867","432,610","679,570","6,170,520","897,319","1,275,588","256,350","79,874","196,397","-17,324.00","-748,035.00","-577,062.00","-35,672","-26,954"
18-Aug,"14,599,900","-1,780,469","12,819,431.00","5,625,749","7,882,661","1,091,491","566,765","701,830","-7,497.00","3,139,647","1,231,601","-6,597.00","4,194","429,016","661,942","5,207,635","632,361","1,091,598","244,760","79,524","357,902","-20,512.00","-1,031,320.00","-653,109.00","-40,534","-33,170"
18-Sep,"12,505,066","-925,868","11,579,198.00","4,492,793","7,312,788","699,485","786,618","558,456","-3,663.00","2,585,699","567,916","-2,233.00",951,"287,218","412,248","5,001,186","548,500","948,240","255,431","65,142","132,938","-3,938.00","-591,248.00","-287,924.00","-19,848","-14,312"
