month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
Jul-99,"7,205,185","-732,897","6,472,288.00","2,299,758","4,582,114","323,314","532,234","482,430","-5,374.00","1,026,217","269,683","-5,432.00","75,401","102,925","147,039","3,569,950","338,771","375,295","108,960","67,044","32,012","-16,004.00","-423,324.00","-292,361.00","-5,804","-6,515"
Aug-99,"6,273,720","-572,022","5,701,698.00","1,817,429","4,045,610","410,682","389,926","210,944","-4,153.00","988,304","233,810","-1,402.00","157,035","86,733","168,547","3,115,631","309,025","329,899","105,252","77,108","24,414","-12,947.00","-249,983.00","-304,286.00","-7,169","-4,349"
Sep-99,"6,088,800","-467,816","5,620,984.00","2,321,385","3,437,384","330,032","596,968","207,768","-4,059.00","1,179,283","343,104","-1,679.00","105,856","78,068","147,726","2,774,006","258,923","157,495","99,635","67,775","23,186","-13,616.00","-259,264.00","-193,985.00","-6,048","-4,167"
Oct-99,"6,834,784","-686,688","6,148,096.00","1,912,452","4,596,640","325,693","365,883","213,514","-7,764.00","1,042,235","302,475","-3,891.00","76,299","90,776","160,979","3,460,834","313,145","477,844","82,683","67,533","56,601","-17,318.00","-425,505.00","-248,432.00","-4,998","-4,827"
Nov-99,"6,318,104","-505,231","5,812,873.00","2,184,394","3,823,314","310,397","578,233","150,358","-7,825.00","1,049,661","427,166","-13,199.00","63,685","105,405","149,626","3,029,920","269,824","233,796","83,102","69,486","51,243","-19,264.00","-274,052.00","-218,981.00","-5,165","-2,550"
Dec-99,"6,862,855","-1,168,752","5,694,103.00","1,866,197","4,485,687","510,971","364,034","265,776","-6,995.00","612,445","634,260","-3,323.00","226,845","126,921","161,567","3,451,561","273,333","413,710","65,333","75,397","24,969","-18,991.00","-957,681.00","-193,446.00","-7,845","-5,134"
Jan-00,"7,863,204","-373,041","7,490,163.00","2,477,983","5,050,696","334,523","4,339","929,820","-6,380.00","172,141","1,382,495","-4,432.00","74,796","92,769","171,464","4,022,630","350,476","355,581","71,263","101,429","108,050","-80,027.00","-225,536.00","-122,183.00","-13,469","-6,879"
Feb-00,"7,782,240","-421,943","7,360,297.00","2,504,026","4,671,984","606,229","363,724","238,970","-6,686.00","987,264","923,603","-2,849.00","45,228","243,838","319,653","3,658,159","374,975","362,326","70,284","62,444","40,006","-12,002.00","-298,612.00","-106,487.00","-6,773","-3,394"
Mar-00,"7,426,821","-352,591","7,074,230.00","2,437,724","4,738,919","250,178","558,278","213,534","-6,399.00","1,106,511","568,239","-2,439.00","42,922","88,180","115,756","3,819,638","364,529","306,696","64,407","59,601","43,852","-16,049.00","-230,669.00","-102,308.00","-8,075","-4,803"
Apr-00,"6,697,422","-211,571","6,485,851.00","2,415,264","3,996,389","285,769","347,805","393,020","-2,524.00","1,181,425","496,103",-565,"46,368","92,182","132,817","3,223,902","340,344","157,446","89,032","57,234","58,842","-7,443.00","-138,755.00","-60,260.00","-5,105","-3,725"
May-00,"8,622,917","-395,440","8,227,477.00","2,674,718","5,641,987","306,212","540,585","318,647","-7,564.00","1,088,904","749,819","-15,673.00","44,110","89,419","159,410","4,555,049","256,234","497,203","112,236","65,917","60,276","-30,503.00","-213,477.00","-164,065.00","-9,303","-5,313"
Jun-00,"7,337,246","-414,781","6,922,465.00","2,816,217","4,164,912","356,117","374,856","498,622","-7,566.00","1,246,097","707,869","-3,661.00","60,762","92,742","188,881","3,347,237","255,193","386,344","73,963","69,872","59,312","-144,246.00","-133,012.00","-250,700.00","-20,656","-4,681"
