Type,Unnamed: 1,Unnamed: 2,Unnamed: 3,CBS,Tax,Tax.1,Tax.2,CBS.1,CBS.2,BOI,BOI.1,Boi.2,Boi.3,Boi.4,Boi.5,Boi.6,Boi.7,Tax.3,Tax.4,Tax.5,Tax.6,Tax.7,Tax.8,Tax.9,Tax.10,Tax.11,Tax.12,CBS.3,CBS.4,CBS.5,CBS.6,CBS.7,Boi.8,CBS.8,CBS.9,CBS.10,CBS.11,CBS.12
Source,,,,Real,Nominal,Nominal,Nominal,Nominal,SA,SA,Nominal,Real,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,SA,SA,SA,SA,SA,,,SA,SA,,SA
Release Lag,,,,15,0,0,0,16,12,,,,,,,,,0,0,0,0,0,0,0,0,0,0,16,16,18,94,94,,,,,,
Date,Month,Quarter,Year,CPI,dir,indir,VAT,imp,cons_trust,real_credit_card,Oil,Reer,Dollar,TA35,TA125,Nasdaq,sp500,VAT_rate,rev,rev_trade,rev_trade2,rev_food,"סה""כ אגף מס הכנסה נטו",ניכויים ושוק ההון,"סה""כ מיסי יבוא","סה""כ מיסים מקומיים","סה""כ מסים עקיפים","שיעור אבטלה (גילאי 25-64, בנקודות אחוז)","שיעור השתתפות  (גילאי 25-64, בנקודות אחוז)",שיעור תעסוקה (גילאי 25-64),שכר ריאלי,משרות שכיר,"יתרות מט""ח במליוני דולרים",מדד מחירי דירות (1993=100) - אמצע התקופה הנסקרת,"מדדי ערך רכישות בכרטיסי אשראי (סה""כ) (2002=100)","מדד הייצור התעשייתי (סה""כ)",המדד המשולב למצב המשק,דירות שנמכרו בקצב שנתי
2015-08-01 00:00:00,8,3,2015,94.1566351216,12354,10517,7423,1937,130.11,253.6,42.86761904761905,94.02,3.8448571428571436,1676.3354545454545,1457.7245454545453,4934.622860857143,2039.8662050952382,0.18,115,114.2,91.4,121.9,11920.431,6607.397,1937,1514,10874,0.04391276041666667,0.8007089610592713,0.7655476202887974,9225.384135148903,3404.34815842161,88998.359263,369,253.6,74.6,73.45489493066546,31704
2015-09-01 00:00:00,9,3,2015,93.7796315776,11177,11042,8409,1238,131.45,257.8,45.479523809523805,93.19,3.912941176470589,1574.5353333333335,1375.2806666666668,4748.004324714285,1944.4047619523806,0.18,114.5,114.3,91.2,118.5,11673.292,6830.933,1238,1653,11300,0.04477514735093946,0.8012158213316635,0.7653412648716343,9298.495255191014,3375.25726559111,89475.83307,371.3,257.7,73.7,73.67060559962414,32196
2015-10-01 00:00:00,10,4,2015,93.8738824636,9990,10082,6598,1692,129.48,255.3,46.22363636363636,91.42,3.8629999999999995,1536.833157894737,1338.7231578947367,4879.036820818182,2024.8127163636366,0.17,114.3,114.3,88.6,121,10350.604,6346.727,1692,1300,9590,0.045364571502742,0.8011074139544556,0.7647915150254757,9237.785872638497,3423.46576330274,89230.161654,374.4,255.3,72.3,73.8772160746374,30888
2015-11-01 00:00:00,11,4,2015,93.4968789196,11084,10426,7459,1450,128.25,260.9,42.385238095238094,92.08,3.8893333333333326,1565.9031818181816,1354.3631818181818,5078.838037149999,2080.6165038999998,0.17,115.9,116.6,90,118.3,11300.247,6705.998,1450,1649,10558,0.044138291273546404,0.7944342142801567,0.7593433099048164,9272.228082611939,3433.14084254888,88822.492438,377.5,260.9,78.3,74.27904355578193,31332
2015-12-01 00:00:00,12,4,2015,93.4026280336,8593,9243,5877,1776,133.8,261.9,37.18863636363636,92.85,3.8813636363636363,1526.669565217391,1316.468260869565,5040.540056818181,2054.079557090909,0.17,116.6,115.9,90.6,119.1,10015.517,6481.282,1776,1296,8949,0.045010863572980515,0.7986997850242171,0.7627496179647233,9247.219668270089,3447.80503441382,90574.783563,380.4,261.8,76.1,74.53443167505516,31200
2016-01-01 00:00:00,1,1,2016,92.9313736035,13670,13160,9344,2190,128.76,264,31.571500000000004,93.14,3.9508999999999994,1478.088095238095,1271.261428571429,4610.714241421053,1918.5978911052632,0.17,116.2,116,91.3,123.1,14522.028,8365.438,2190,1714,13248,0.04538651743883394,0.7950130622591242,0.7589301880447996,9253.501324297702,3443.72847715738,90487.135842,381.4,264,75,74.79585254667064,33756
2016-02-01 00:00:00,2,1,2016,92.6486209455,11803,8911,6082,1628,128.59,263.7,30.323,92.2,3.908047619047619,1427.9666666666667,1226.7438095238092,4463.2060049500005,1904.4184928500006,0.17,113.9,116.2,90.5,122.4,11500.009,6651.454,1628,1204,8914,0.04543087737568341,0.7943335746044877,0.7582463033812429,9316.947645353092,3467.0947432271,90618.848733,384,263.6,73.6,74.96499474698294,33204
2016-03-01 00:00:00,3,1,2016,92.4601191735,11596,11804,8205,2043,131.1,269.9,37.54636363636364,91.74,3.8676190476190477,1471.100909090909,1264.863636363636,4754.479113045454,2021.954096954545,0.17,116.8,119.1,94.9,123.5,11830.657,6967.673,2043,1643,11891,0.04559743332145056,0.7985146080790828,0.7621043914809926,9421.225391385615,3468.76383482828,94779.577601,389.1,269.8,76.3,75.39475652404698,34836
2016-04-01 00:00:00,4,2,2016,92.8371227175,12049,8714,5687,1646,134.62,270.3,40.755238095238084,91.31,3.7784210526315793,1466.817894736842,1267.9294736842105,4892.168108285715,2075.535231761905,0.17,117.1,119.6,89.9,123.5,11911.371,7601.077,1646,1257,8590,0.043377151900778406,0.8009779065555958,0.7662337662337663,9353.77010055838,3483.8090693201,95683.981844,390.2,270.3,75.3,75.5687373574429,43860
2016-05-01 00:00:00,5,2,2016,93.1198753755,12653,13095,9175,2268,132.86,268.3,46.71238095238095,92.45,3.8134499999999996,1417.5595238095239,1228.0238095238096,4788.235235380952,2065.5504790000005,0.17,117.8,118.9,93,121.2,12701.774,7879.949,2268,1792,13235,0.040206051966565154,0.8000518403317781,0.7678849144634525,9330.82311064633,3478.75153950585,96463.373847,391.1,268.3,76.3,75.90768348404339,32772
2016-06-01 00:00:00,6,2,2016,93.4026280336,11514,9719,6239,1835,131.93,274.1,48.75727272727272,92.12,3.8566363636363645,1421.0704761904763,1233.3804761904764,4856.232688227274,2083.886369136364,0.17,119,119,93.9,122.9,11357.789,6480.698,1835,1542,9616,0.03767189618438892,0.7986490667216665,0.7685624419923687,9378.143359238315,3489.56857506594,96634.68221,393.4,274.1,75.9,76.28220907410918,34392
2016-07-01 00:00:00,7,3,2016,93.7796315776,13360,12384,8672,1899,132.14,276.3,44.6515,91.3,3.8574285714285717,1444.7495238095237,1257.738095238095,5023.98896485,2148.9019775500005,0.17,118.6,119.7,94.1,128.5,13502.819,8201.997,1899,1673,12244,0.039950022425834564,0.8024577099079644,0.7703995064013573,9422.65397557823,3510.30310793037,97392.620319,396.1,276.3,75.8,76.50663276860753,32652
2016-08-01 00:00:00,8,3,2016,93.4968789196,11289,10347,6695,1948,133.56,272.9,44.72434782608696,92.47,3.795391304347826,1462.0690909090908,1282.3968181818182,5217.0383193478265,2177.4821670869565,0.17,116.3,118,89.7,121.3,11252.991,6767.948,1948,1641,10284,0.041441152922337875,0.8019364614633896,0.7687032899298868,9454.945206186061,3513.04895360628,97625.998165,399.9,272.8,75.1,76.44643833152529,36876
2016-09-01 00:00:00,9,3,2016,93.4026280336,12204,12462,9053,1983,130.52,274.6,45.146363636363645,92.9,3.7657272727272724,1446.972380952381,1267.9285714285716,5254.154296857143,2157.6909645238097,0.17,119.1,121,92.7,130.7,12633.504,7450.806,1983,1522,12558,0.04286035818783963,0.7994704642434837,0.7652048737854096,9402.87732073824,3560.30950340473,98428.618797,404.2,274.6,74.6,76.7675403327302,29520
