Unnamed: 0,Total gross income tax department,Total Refunds Income Tax Division,Total Income Tax Division Net,MK self -employed and companies (advances and cavalry),Deductions and the capital market,Real Estate Taxation,Independently promote,Independent tax differences,Independent cancellation,Companies promote,Tax difference companies,CPIs,Property tax,Praise tax,Purchase tax,A salary deduction,Goods and services,Sales Tax,VAT financial institutions (wages),Excess expenses,Bonds and diphoband,Deductions,Refunds of friendship,Refunds are independent,Appreciation tax refunds,Purchase Refunds
2000-03-01,7426821,-352591,7074230,2437724,4738919,250178,558278,213534,-6399,1106511,568239,-2439,42922,88180,115756,3819638,364529,306696,64407,59601,43852,-16049,-230669,-102308,-8075,-4803
2000-04-01,6697422,-211571,6485851,2415264,3996389,285769,347805,393020,-2524,1181425,496103,-565,46368,92182,132817,3223902,340344,157446,89032,57234,58842,-7443,-138755,-60260,-5105,-3725
2000-05-01,8622917,-395440,8227477,2674718,5641987,306212,540585,318647,-7564,1088904,749819,-15673,44110,89419,159410,4555049,256234,497203,112236,65917,60276,-30503,-213477,-164065,-9303,-5313
2000-06-01,7337246,-414781,6922465,2816217,4164912,356117,374856,498622,-7566,1246097,707869,-3661,60762,92742,188881,3347237,255193,386344,73963,69872,59312,-144246,-133012,-250700,-20656,-4681
2000-07-01,7709586,-465625,7243961,2404235,4980500,324852,593135,240287,-4635,1195483,449945,-69980,38592,102179,167835,4037888,291039,368442,98144,69084,29541,-14954,-178976,-264888,-11722,-5349
2000-08-01,7628842,-562221,7066621,2519104,4750559,359180,413464,217431,-2402,1355235,536242,-866,34828,105432,194028,3770053,334984,373167,87383,64423,13316,-8855,-251298,-288636,-9456,-5791
2000-09-01,7744434,-477180,7267254,2556664,4879029,308740,607689,227803,-8632,1269351,464295,-3842,37448,98947,153090,3966152,274374,351878,87444,75508,64801,-37763,-204226,-253299,-9694,-4076
2000-10-01,7479394,-406811,7072583,2427193,4761403,290798,359133,316703,-4470,1398916,360499,-3588,23964,92684,148770,3833142,342975,328275,90768,73096,17877,-19825,-212782,-171104,-12375,-3573
2000-11-01,7764650,-503295,7261355,2400854,5020664,343131,588437,221470,-7914,1191375,415342,-7856,30854,134089,148444,4019317,300935,398726,94393,83930,22074,-17854,-261326,-206433,-9982,-6960
2000-12-01,6497909,-840765,5657144,1545190,4645549,307170,357846,157797,-5197,655874,382492,-3622,34109,113154,139773,3728470,307462,305489,72184,70453,84671,-13080,-613064,-203161,-13050,-4285
2001-01-01,"8,214,621",-325411,7889210,2764116,5175828,274678,350355,951597,-3844,25026,1453340,-12358,21278,94162,136545,4198773,302980,354537,81876,126854,25599,-21429,-181077,-129846,-6609,-3752
2001-02-01,"7,635,837",-456287,7179550,2337798,5027834,270205,374873,238357,-4395,1066570,665363,-2970,17055,89281,141309,4094329,292042,370314,71018,68446,46317,-12947,-335109,-104135,-7939,-4896
2001-03-01,"8,544,679",-297676,8247003,2870426,5370491,303762,537247,184743,-5363,1114669,1042507,-3377,19368,115943,146385,4263659,328128,539633,84189,63701,18837,-27069,-171391,-105101,-9469,-6580
2001-04-01,"7,014,328",-281334,6732994,2107751,4662875,243701,343183,164366,-4046,1140878,466023,-2653,20982,84628,119899,3890207,241078,295253,89693,68558,19793,-14499,-187877,-80948,-3842,-4226
2001-05-01,"7,955,201",-416272,7538929,2220363,5442644,292194,543232,196627,-4880,1093598,393900,-2114,17651,90959,160360,4653382,264772,309957,111971,68546,39594,-81038,-219730,-176283,-7509,-6311
2001-06-01,"7,397,247",-471957,6925290,2267205,4850130,279911,336536,298620,-4655,1212126,437678,-13100,22368,99138,136001,3852372,280789,387718,93734,66881,98876,-47724,-169726,-282475,-9497,-6253
2001-07-01,"8,594,088",-601339,7992749,2737179,5585545,271363,577728,415125,-4065,1149944,601663,-3216,20323,90265,138000,4538586,367923,424089,95808,68722,26501,-29927,-273299,-302825,-14670,-6229
2001-08-01,"7,813,737",-536036,7277701,2200406,5344922,268409,362618,188094,-4912,1243319,417201,-5914,17112,86979,144234,4330499,222575,469481,85324,72570,42875,-17017,-245350,-276816,-4824,-5218
2001-09-01,"7,691,967",-452725,7239242,2331688,5111589,248690,608037,196155,-2972,1077981,454601,-2114,13893,81003,128746,4257464,243898,404138,87211,72343,8639,-74240,-247308,-181877,-9923,-7635
2001-10-01,"6,564,896",-484803,6080093,1849429,4508917,206549,315296,199267,-7476,964349,383180,-5187,11717,62511,116687,3677955,193640,390745,73939,69640,20469,-12075,-269109,-203352,-4129,-5504
2001-11-01,"7,130,906",-696768,6434138,2100918,4789304,240683,590687,163695,-4052,934812,419630,-3854,16600,86098,116170,3925672,249619,341542,66068,80049,51330,-14803,-430219,-238646,-16048,-7256
2001-12-01,"6,519,826",-718213,5801613,1578501,4651223,290102,316902,218840,-5011,580928,469138,-2296,17635,112164,136550,3731255,258854,386769,82649,74863,22727,-15383,-507473,-189132,-8489,-6682
2002-01-01,7720189,-502076,7218113,2114141,5368796,237251,6012,880771,-6157,19351,1217904,-3740,14536,75263,133841,4336366,314329,407516,95805,119863,22389,-27469,-315525,-168537,-8743,-4974
2002-02-01,7872957,-687853,7185104,2543389,5060895,268672,334003,363519,-6934,1041731,813805,-2735,11887,87548,148843,4112414,258212,400756,62256,66467,68806,-9346,-546413,-124127,-8414,-5343
2002-03-01,7563747,-572843,6990904,2424442,4855173,284132,538062,254093,-3843,1035849,602770,-2489,13624,102958,151580,4137537,209374,290841,95236,63548,15141,-35711,-441297,-117801,-4165,-5032
2002-04-01,7062036,-281924,6780112,2023100,4780197,258739,327276,196281,-4425,1125973,381806,-3811,11341,75028,157374,4630122,365898,498256,109340,76809,11022,-57106,-166005,-102533,-4202,-6727
2002-05-01,7535421,-464691,7070730,2148763,5073527,313130,559178,200935,-6814,977385,437029,-18950,13551,134187,148649,4175896,278689,363634,109411,71258,12388,-44560,-185858,-264509,-7370,-3146
2002-06-01,6664509,-503438,6161071,1834833,4560367,269309,351492,209554,-6765,964264,318571,-2283,20007,90923,146866,3759323,212451,383284,96973,65169,14493,-74938,-185309,-293635,-11050,-6943
2002-07-01,8334400,-541993,7792407,2196368,5849770,288263,594722,232706,-6386,1042717,336997,-4388,16075,96967,168400,4844040,220835,609207,108597,73168,14430,-156047,-178177,-349115,-4274,-6739
2002-08-01,7077273,-845397,6231876,1711561,5102757,262956,321942,170560,-5083,949359,279429,-4646,14027,79570,152276,4016060,286791,579869,103489,67608,68329,-141681,-475248,-349280,-7236,-7399
2002-09-01,6756781,-233382,6523399,1925294,4670539,160948,531245,158320,-8634,933113,313984,-2734,9445,46649,99099,3868865,198242,436639,108162,66494,9636,-96019,-71256,-149398,-5153,-5160
2002-10-01,5537214,-308246,5228968,1565804,3879946,91463,256338,126496,-2352,950412,236127,-1217,6020,30530,51384,3247696,177620,375767,81990,64644,27944,-168286,-153292,-150736,-604,-290
2002-11-01,7727613,-379108,7348505,1794603,5795576,137435,501904,117657,-9164,900876,288429,-5099,6588,47573,77067,4647481,214201,644335,87243,79399,8977,-20595,-223139,-155602,-7,-5
2002-12-01,6523853,-508510,6015343,1503191,4643090,377572,252690,193797,-7661,658714,411310,-5659,48769,112531,195647,3639410,242254,479711,91366,76654,26621,-17242,-219826,-253872,-8258,-21146
2003-01-01,7441435,-1114562,6326873,2027748,5134721,278966,5999,726777,-4437,40503,1266584,-7678,29196,100322,141096,4048891,281208,448224,93135,133860,16237,-24044,-799627,-280702,-12073,-14989
2003-02-01,7089012,-744465,6344547,1980192,4713466,395355,226103,271681,-4476,897143,592024,-2283,18119,172788,176605,3863442,254752,554129,97951,61173,29327,-338079,-508497,-193426,-9989,-16580
2003-03-01,7233888,-524740,6709148,2109429,4901420,223039,424145,248157,-4483,962425,484672,-5487,15704,94271,121359,3816222,242962,519556,121245,73072,12483,-93388,-349667,-139901,-6272,-6215
2003-04-01,6350270,-348810,6001460,1720213,4465717,164340,226380,152595,-1980,1033712,311622,-2116,10614,50931,97446,3518759,182573,384359,106420,65158,6791,-5037,-252122,-71602,-6034,-3574
2003-05-01,7098745,-525271,6573474,2139822,4792198,166725,438139,344177,-15612,1123273,258298,-8453,15781,49833,95001,3721948,207681,476676,103242,76757,10288,-23961,-372677,-119745,-11547,-7197
2003-06-01,6457278,-480980,5976298,1981383,4253139,222757,231641,203382,-7504,1248760,308401,-3297,17598,70439,127061,3095910,203457,464769,105128,150861,22157,-16544,-153451,-287347,-12030,-7210
2003-07-01,7816055,-613633,7202422,2498586,5049252,268218,454496,394066,-5152,1290189,369319,-4332,14061,87551,154779,3593671,540774,482309,121385,72946,10465,-18893,-244244,-329153,-13715,-7344
