indirect_tax_df_ Gross import VAT ,indirect_tax_df_ Gross local VAT ,indirect_tax_df_ VAT refund autonomy and traders ,indirect_tax_df_ Total net VAT ,indirect_tax_df_Net customs,indirect_tax_df_ Net import purchase tax ,indirect_tax_df_ Total import taxes ,indirect_tax_df_ Net local sales tax ,indirect_tax_df_ Gross fuel tax ,direct_tax_df_Total Gross Income Tax Division,direct_tax_df_ Total refunds from the Income Tax Department ,direct_tax_df_Total Income Tax Division Net,direct_tax_df_Income tax for self-employed individuals and companies (advances and deductions),direct_tax_df_Deductions and the capital market,direct_tax_df_Real estate taxation,direct_tax_df_Independents advances,direct_tax_df_Self-employed tax differences,direct_tax_df_Independent Cancellations,direct_tax_df_Companies advances,direct_tax_df_tax differential companies,direct_tax_df_Cancellation companies,direct_tax_df_Property tax,direct_tax_df_praise tax,direct_tax_df_Real estate purchase tax,direct_tax_df_Deduction from salary,direct_tax_df_Goods and services,direct_tax_df_Non-profit institution tax,direct_tax_df_VAT Financial Institutions (Salary),direct_tax_df_excess expenses,direct_tax_df_Bonds and dividends,direct_tax_df_Cancellations Deductions,direct_tax_df_Companies returns,direct_tax_df_self employed returns,direct_tax_df_ Capital Gains Tax Refunds ,direct_tax_df_ Purchase returns ,macro_monthly_df_CPI,macro_monthly_df_VAT,macro_monthly_df_cons_trust,macro_monthly_df_real_credit_card,macro_monthly_df_VAT_rate,"macro_monthly_df_ Unemployment rate (ages 25-64, in percentage points) ","macro_monthly_df_ Participation rate (ages 25-64, in percentage points) ",macro_monthly_df_ Employment rate (ages 25-64) ,macro_monthly_df_ Real Salary ,macro_monthly_df_ salaried jobs ,macro_monthly_df_Foreign exchange reserves in millions of dollars,macro_monthly_df_Apartment Price Index (1993=100) - Mid-period reviewed,macro_monthly_df_Credit card purchase value indices (total) (2002=100),macro_monthly_df_Industrial Production Index (Total),macro_monthly_df_The combined index of the state of the economy,macro_monthly_df_Apartments sold at an annual rate,Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,17.0,,,,,,7655.846258,140.3,,,,,1995-01-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,17.0,,,,,,8618.617647,140.7,,,,,1995-02-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,17.0,,,,,,9091.118637,141.5,,,,,1995-03-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,,,,17.0,,,,,,9656.72182,142.7,,,,,1995-04-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,,17.0,,,,,,9759.967516,144.4,,,,,1995-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,,,,17.0,,,,,,8931.500791,145.5,,,,,1995-06-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,17.0,,,,,,9076.177137,148.7,,,,,1995-07-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,,,,17.0,,,,,,8273.932258,151.8,,,,,1995-08-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,17.0,,,,,,8989.837323,151.9,,,,,1995-09-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,,,,17.0,,,,,,8529.676778,153.5,,,,,1995-10-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,17.0,,,,,,8409.218931,157.9,,,,,1995-11-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,,,,17.0,,,,,,8307.391547,162.7,,,,,1995-12-01
1330.0,2196.0,-1106.0,2420.0,92.0,611.0,703.0,53.0,314.0,4774990.0,-680754.0,4094236.0,1576273.0,2775426.0,423290.0,23709.0,600103.0,-4331.0,26460.0,936207.0,-5875.0,159430.0,108675.0,156272.0,2183611.0,224948.0,196775.0,60689.0,70820.0,13941.0,-33284.0,-541940.0,-112555.0,-16848.0,-6000.0,55.1,2420.0,,,17.0,,,,,,9177.291682,164.7,,,,,1996-01-01
1236.0,1653.0,-890.0,1999.0,91.0,546.0,637.0,43.0,296.0,4874888.0,-436582.0,4438306.0,1716841.0,2717370.0,440678.0,326348.0,202116.0,-6226.0,723337.0,688298.0,-217032.0,121792.0,146495.0,172882.0,2040219.0,191896.0,258045.0,61703.0,41306.0,17812.0,-34953.0,-342359.0,-83118.0,-5091.0,-3606.0,55.6,1999.0,,,17.0,,,,,,10024.63982,164.7,,,,,1996-02-01
1284.0,2037.0,-856.0,2465.0,107.0,619.0,726.0,66.0,326.0,4747461.0,-337940.0,4409521.0,1487508.0,2903474.0,356479.0,437301.0,119197.0,-2159.0,730004.0,205284.0,-2119.0,62541.0,140702.0,153513.0,2265911.0,194206.0,236928.0,59295.0,44452.0,20135.0,-19980.0,-246389.0,-69766.0,-11221.0,-6684.0,56.2,2465.0,,,17.0,,,,,,9836.658213,167.0,,,,,1996-03-01
1341.0,1692.0,-702.0,2331.0,80.0,525.0,605.0,19.0,322.0,4344514.0,-328559.0,4015955.0,1335356.0,2703784.0,305373.0,295287.0,102835.0,-3505.0,757856.0,187120.0,-4237.0,79702.0,95487.0,133888.0,2075698.0,172525.0,231896.0,87516.0,42520.0,13139.0,-20970.0,-272817.0,-42851.0,-7480.0,-3768.0,57.1,2331.0,,,17.0,,,,,,9589.817457,171.8,,,,,1996-04-01
1264.0,1917.0,-801.0,2380.0,92.0,623.0,715.0,84.0,360.0,4685959.0,-297485.0,4388474.0,1437866.0,2924300.0,323794.0,432090.0,110420.0,-4939.0,700649.0,202258.0,-2612.0,61818.0,124786.0,139256.0,2259705.0,188355.0,259031.0,55916.0,47858.0,28679.0,-18950.0,-145617.0,-141592.0,-4311.0,-2868.0,58.1,2380.0,,,17.0,,,,,,9373.064264,175.3,,,,,1996-05-01
1250.5,1649.0,-785.0,2115.0,88.0,616.2,704.2,16.0,334.0,4219192.0,-309144.0,3910048.0,1362368.0,2543934.0,312892.0,323198.0,153808.0,-4353.0,761807.0,132306.0,-4398.0,58135.0,100641.0,155001.0,1908199.0,170777.0,262471.0,53518.0,42387.0,15510.0,-16134.0,-92471.0,-197849.0,-10043.0,-5532.0,58.5,2114.5,,,17.0,,,,,,9007.159597,174.6,,,,,1996-06-01
1298.6,2315.5,-872.0,2742.0,86.3,516.9,603.2,101.9,373.2,5275393.0,-471700.0,4803693.0,1664682.0,3308043.0,302668.0,474844.0,116932.0,-3942.0,758705.0,322943.0,-4800.0,76484.0,92346.0,135372.0,2591462.0,204018.0,308877.0,45899.0,47745.0,25125.0,-33700.0,-224900.0,-234310.0,-3902.0,-3644.0,58.7,2742.1,,,17.0,,,,,,9052.032716,171.6,,,,,1996-07-01
1141.9,1771.9,-861.7,2052.0,84.6,530.1,614.7,50.1,379.7,4620461.0,-509112.0,4111349.0,1346313.0,2987938.0,286209.0,354186.0,123234.0,-5878.0,744798.0,134586.0,-4613.0,62130.0,96239.0,130065.0,2279710.0,206173.0,298453.0,53064.0,49167.0,28107.0,-48232.0,-240129.0,-255882.0,-4986.0,-4643.0,58.9,2052.1,,,17.0,,,,,,9655.043929,170.8,,,,,1996-08-01
1148.8,2308.7,-787.9,2670.0,83.6,538.4,622.0,74.2,375.5,4990972.0,-372648.0,4618324.0,1563366.0,3198959.0,228648.0,501668.0,125946.0,-2821.0,796276.0,143980.0,-1683.0,55398.0,60223.0,113446.0,2490302.0,221720.0,282085.0,53802.0,53036.0,11375.0,-26444.0,-190784.0,-161668.0,-8643.0,-7721.0,59.1,2669.6,,,17.0,,,,,,10367.66982,173.5,,,,,1996-09-01
1329.1,1641.9,-787.5,2184.0,90.1,622.9,713.0,101.3,360.6,4383494.0,-438401.0,3945093.0,1435500.0,2735434.0,212560.0,325279.0,119995.0,-7402.0,821045.0,179332.0,-2749.0,64511.0,52455.0,96763.0,2076888.0,192588.0,272624.0,51547.0,50828.0,26147.0,-39537.0,-263434.0,-161244.0,-4429.0,-4215.0,59.6,2183.5,,,17.0,,,,,,11819.77194,176.4,,,,,1996-10-01
1123.8,2166.5,-865.4,2425.0,77.0,534.3,611.3,25.3,330.9,5032927.0,-519094.0,4513833.0,1723506.0,3072494.0,236927.0,513250.0,144010.0,-2877.0,920990.0,151525.0,-3392.0,69713.0,70964.0,97544.0,2374642.0,217304.0,272018.0,50385.0,55482.0,10748.0,-17232.0,-368163.0,-134578.0,-3593.0,-6813.0,60.0,2424.9,,,17.0,,,,,,11409.30777,177.1,,,,,1996-11-01
1145.0,1631.0,-686.2,2090.0,88.0,671.8,759.8,84.3,387.3,4418483.0,-668837.0,3749646.0,1278940.0,2833590.0,305954.0,314112.0,137124.0,-5140.0,624866.0,211001.0,-3023.0,89978.0,97409.0,119858.0,2148921.0,183138.0,284343.0,48610.0,51927.0,19501.0,-14188.0,-537046.0,-115060.0,-6468.0,-6333.0,60.4,2089.8,,,17.0,,,,,,11574.63993,178.4,,,,,1996-12-01
1228.2,2519.4,-866.2,2881.0,99.2,512.3,611.5,58.7,382.2,5592323.0,-466736.0,5125587.0,1798058.0,3493219.0,301048.0,6862.0,696447.0,-4434.0,32151.0,1070048.0,-3016.0,65528.0,108021.0,129289.0,2704813.0,270770.0,259979.0,54135.0,85327.0,45298.0,-38336.0,-323040.0,-120438.0,-9857.0,-6129.0,60.7,2881.4,,,17.0,,,,,,12898.5557,181.8,,,,,1997-01-01
1161.1,1825.8,-800.0,2187.0,89.7,522.4,612.1,24.5,351.5,5617720.0,-487758.0,5129962.0,2042971.0,3207104.0,367644.0,349120.0,198732.0,-4637.0,821461.0,682180.0,-3885.0,171169.0,79507.0,118219.0,2487361.0,217761.0,286534.0,73891.0,45220.0,12796.0,-34611.0,-409614.0,-61115.0,-10531.0,-4328.0,61.4,2186.9,,,17.0,,,,,,14069.48828,183.0,,,,,1997-02-01
1563.9,2248.9,-813.2,3000.0,118.3,660.3,778.6,84.0,414.8,5402146.0,-326139.0,5076007.0,1749877.0,3338114.0,314155.0,458682.0,139088.0,-7089.0,860815.0,301767.0,-3386.0,124013.0,73021.0,118011.0,2656197.0,217669.0,262962.0,71846.0,52280.0,26907.0,-60798.0,-248324.0,-60400.0,-8254.0,-6035.0,62.0,2999.6,,,17.0,,,,,,15521.29619,183.2,,,,,1997-03-01
1197.2,1708.1,-622.2,2283.0,103.1,533.3,636.4,17.1,392.4,4999986.0,-162804.0,4837182.0,1577755.0,3136700.0,285531.0,314017.0,116312.0,-3474.0,943379.0,208767.0,-1246.0,88596.0,80366.0,117589.0,2541617.0,183250.0,251470.0,90886.0,47935.0,14428.0,-100842.0,-97453.0,-46237.0,-5851.0,-5506.0,62.5,2283.1,,,17.0,,,,,,16178.01776,185.1,,,,,1997-04-01
1285.5,2314.1,-989.9,2610.0,99.9,614.8,714.7,68.5,380.9,5426738.0,-224920.0,5201818.0,1735152.0,3456152.0,235435.0,482134.0,132396.0,-7532.0,928637.0,222158.0,-22641.0,49923.0,78187.0,108888.0,2692398.0,209190.0,288717.0,84869.0,61080.0,30004.0,-22627.0,-108583.0,-91012.0,-9250.0,-13025.0,62.8,2609.7,,,17.0,,,,,,16564.11432,187.4,,,,,1997-05-01
1322.6,1728.7,-802.0,2249.0,97.9,792.2,890.1,50.4,425.8,4694167.0,-344090.0,4350077.0,1472678.0,3007109.0,214380.0,316368.0,117034.0,-4100.0,867789.0,198136.0,-22549.0,55104.0,60454.0,100841.0,2268594.0,245072.0,285755.0,81774.0,52228.0,9509.0,-43743.0,-163468.0,-163837.0,-6599.0,-5740.0,63.4,2249.3,,,17.0,,,,,,17993.83403,190.8,,,,,1997-06-01
1312.8,2416.6,-893.9,2836.0,88.2,471.4,559.6,88.9,470.4,6023570.0,-493702.0,5529868.0,1827238.0,3867118.0,329214.0,492505.0,130234.0,-5580.0,1006369.0,205879.0,-2169.0,97788.0,94744.0,139271.0,3043060.0,240862.0,312393.0,86013.0,57459.0,28119.0,-42938.0,-251970.0,-223096.0,-10721.0,-4792.0,64.1,2835.5,,,17.0,,,,,,18158.18409,192.4,,,,,1997-07-01
1290.2,1970.3,-832.0,2429.0,92.1,531.4,623.5,98.7,443.5,5364054.0,-437865.0,4926189.0,1609654.0,3436183.0,318218.0,362717.0,148484.0,-3617.0,893807.0,209593.0,-1330.0,84291.0,89083.0,146123.0,2658594.0,217429.0,328276.0,63089.0,51118.0,22459.0,-36460.0,-201829.0,-221158.0,-8838.0,-3712.0,64.3,2428.5,,,17.0,,,,,,18466.11842,191.5,,,,,1997-08-01
1272.8,2535.0,-867.0,2941.0,101.3,547.6,648.9,40.9,429.8,5835314.0,-445930.0,5389384.0,2015098.0,3558497.0,261719.0,524130.0,136173.0,-4048.0,908586.0,453057.0,-2800.0,54884.0,76842.0,131456.0,2841732.0,228557.0,330281.0,57858.0,57198.0,16373.0,-102264.0,-229151.0,-198736.0,-6641.0,-7250.0,64.3,2940.8,,,17.0,,,,,,19205.57799,190.3,,,,,1997-09-01
1238.7,1929.3,-829.9,2338.0,80.0,535.5,615.5,108.5,398.6,5007484.0,-220639.0,4786845.0,1563257.0,3250756.0,193472.0,331133.0,116417.0,-5922.0,897119.0,225884.0,-1374.0,52502.0,54841.0,88121.0,2562972.0,197359.0,293075.0,68691.0,56974.0,17541.0,-49600.0,-97355.0,-114189.0,-3839.0,-2095.0,65.0,2338.1,,,17.0,,,,,,19574.54303,189.5,,,,,1997-10-01
1327.4,2337.5,-930.0,2735.0,91.2,610.9,702.1,17.3,408.4,5388699.0,-536863.0,4851836.0,1626562.0,3552127.0,210012.0,518743.0,113228.0,-5942.0,786808.0,216684.0,-2959.0,43746.0,69497.0,98088.0,2783612.0,267969.0,297122.0,62056.0,63468.0,12047.0,-47377.0,-308592.0,-207418.0,-9918.0,-9976.0,64.9,2734.9,,,17.0,,,,,,19405.02226,189.7,,,,,1997-11-01
1296.7,1838.0,-789.4,2345.0,99.5,814.9,914.4,84.4,460.7,4818841.0,-569501.0,4249340.0,1325123.0,3199780.0,293938.0,330349.0,178495.0,-4600.0,533958.0,288518.0,-1597.0,98325.0,80080.0,117335.0,2495492.0,195606.0,268584.0,55715.0,58072.0,41899.0,-18259.0,-404840.0,-154274.0,-4354.0,-3439.0,64.7,2345.3,,,17.0,,,,,,20332.48113,190.9,,,,,1997-12-01
1213.8,2700.9,-1268.4,2646.0,83.9,452.2,536.1,18.6,403.4,6033577.0,-164167.0,5869410.0,1741436.0,4105199.0,186943.0,5105.0,795353.0,-2421.0,33810.0,910329.0,-740.0,34619.0,56313.0,96872.0,3143923.0,277677.0,434385.0,56932.0,95981.0,18811.0,-13753.0,-115128.0,-48018.0,-83.0,-168.0,64.9,2646.3,,,17.0,,,,,,21923.21609,191.1,,,39.36,19212.0,1998-01-01
1264.3,1934.1,-758.0,2440.0,89.9,483.5,573.4,53.8,380.1,4365423.0,-580074.0,3785349.0,1430296.0,2612299.0,322828.0,188571.0,355205.0,-6999.0,347239.0,557139.0,-10859.0,93066.0,90182.0,145186.0,1964078.0,239951.0,493099.0,18770.0,32825.0,36033.0,-259985.0,-405810.0,-151128.0,-12534.0,-8106.0,64.8,2440.4,,,17.0,,,,,,21811.6261,190.1,,,39.47,21600.0,1998-02-01
1592.7,2594.9,-948.1,3240.0,114.5,703.9,818.4,73.6,453.8,7264539.0,-518539.0,6746000.0,2299010.0,4603479.0,362049.0,617693.0,168941.0,-4569.0,1255894.0,265760.0,-4709.0,141846.0,96269.0,126314.0,2993876.0,963230.0,403664.0,87690.0,56859.0,9429.0,-61267.0,-383377.0,-110612.0,-11124.0,-9762.0,64.7,3239.5,,,17.0,,,,,,21603.44176,191.6,,,39.62,20196.0,1998-03-01
1485.7,1844.8,-1001.0,2330.0,98.9,663.7,762.6,22.1,419.0,5661148.0,-214848.0,5446300.0,1770420.0,3585355.0,305373.0,334945.0,271513.0,-3113.0,893092.0,276255.0,-2272.0,104061.0,92562.0,109538.0,2530988.0,530234.0,375914.0,60257.0,45819.0,7946.0,-55926.0,-138531.0,-60136.0,-5808.0,-6413.0,65.6,2329.5,,,17.0,,,,,,21837.74216,193.5,,,39.68,18012.0,1998-04-01
1327.5,2530.5,-934.8,2923.0,86.6,511.1,597.7,102.8,403.7,6059766.0,-435700.0,5624066.0,1958984.0,3818548.0,282235.0,496616.0,143763.0,-4500.0,883697.0,441799.0,-2391.0,81495.0,88438.0,114555.0,2769717.0,431258.0,411469.0,93897.0,59160.0,52656.0,-98567.0,-271458.0,-147172.0,-8228.0,-6347.0,65.8,2923.2,,,17.0,,,,,,21537.10419,193.4,,,39.73,18888.0,1998-05-01
1414.5,1868.5,-901.3,2382.0,94.7,722.6,817.3,60.9,467.7,5095826.0,-395879.0,4699947.0,1610712.0,3259932.0,225182.0,339126.0,129333.0,-6877.0,948104.0,223874.0,-22848.0,68133.0,63358.0,100093.0,2259904.0,375633.0,391192.0,72972.0,47313.0,15114.0,0.0,-175429.0,-201195.0,-9483.0,-6124.0,66.1,2381.7,,,17.0,,,,,,21322.43208,190.1,,,39.85,17256.0,1998-06-01
1394.1,2672.2,-1024.4,3042.0,88.6,524.2,612.8,65.7,461.7,6672313.0,-523321.0,6148992.0,2239174.0,4110934.0,322205.0,520081.0,148774.0,-3396.0,901472.0,675127.0,-2884.0,93910.0,102383.0,127552.0,2952013.0,436351.0,471606.0,72304.0,55475.0,17255.0,-2326.0,-225145.0,-275385.0,-9708.0,-5906.0,66.0,3042.0,,,17.0,,,,,,21405.08397,188.1,,,39.93,18168.0,1998-07-01
1381.2,2057.8,-892.8,2546.0,109.2,666.7,775.9,70.5,491.9,5003633.0,-226995.0,4776638.0,1792518.0,3009388.0,201727.0,354990.0,296086.0,-1890.0,870653.0,273559.0,-880.0,54079.0,47955.0,100293.0,2123338.0,357808.0,293010.0,74550.0,45157.0,55006.0,-575.0,-70080.0,-138972.0,-6277.0,-3936.0,66.4,2546.2,,,17.0,,,,,,21544.49934,191.0,,,40.05,24612.0,1998-08-01
1220.5,2708.8,-522.3,3407.0,94.9,601.5,696.4,83.8,407.9,5716296.0,-47602.0,5668694.0,1957586.0,3628287.0,130425.0,510115.0,231528.0,-4105.0,965729.0,254534.0,-215.0,22473.0,57619.0,50341.0,2708394.0,372216.0,319074.0,81261.0,60658.0,15647.0,-777.0,-20150.0,-27234.0,-49.0,-134.0,67.3,3407.0,,,17.0,,,,,,21714.88449,198.3,,,40.09,19260.0,1998-09-01
1504.0,2105.9,-1226.4,2384.0,112.2,796.4,908.6,71.2,446.3,6181026.0,-253617.0,5927409.0,1520630.0,4398959.0,261436.0,347183.0,118040.0,-4682.0,798363.0,263660.0,-1934.0,68734.0,75964.0,120141.0,3081338.0,326165.0,677304.0,92750.0,56557.0,20152.0,-7925.0,-127971.0,-111938.0,-8254.0,-4844.0,69.3,2383.5,,,17.0,,,,,,21914.40914,204.4,,,40.27,21420.0,1998-10-01
1567.4,2518.7,-1064.4,3022.0,99.9,534.8,634.7,70.2,453.9,5800699.0,-921179.0,4879520.0,1757955.0,3637065.0,405679.0,528238.0,136909.0,-8953.0,832616.0,274603.0,-5458.0,149000.0,101090.0,159719.0,2747922.0,281785.0,376458.0,82307.0,60120.0,20517.0,-17648.0,-556808.0,-347601.0,-6269.0,-5306.0,70.2,3021.7,,,17.0,,,,,,22478.55589,204.4,,,40.33,19356.0,1998-11-01
1582.5,2298.9,-1108.0,2773.0,97.9,654.7,752.6,60.0,448.6,5622845.0,-744505.0,4878340.0,1563899.0,3726839.0,332107.0,340827.0,157047.0,-7430.0,636028.0,445902.0,-8475.0,92851.0,87415.0,153624.0,2720132.0,297128.0,402393.0,87651.0,65381.0,69935.0,-12510.0,-455295.0,-260047.0,-14035.0,-8231.0,70.2,2773.4,,,17.0,,,,,,22674.33524,204.3,,,40.38,19692.0,1998-12-01
1348.3,3123.6,-1216.2,3256.0,89.8,494.0,583.8,58.0,463.9,6329963.0,-416200.0,5913763.0,1687880.0,4317070.0,325013.0,5191.0,678773.0,-4323.0,19895.0,990794.0,-2450.0,111502.0,85167.0,129729.0,3104235.0,394695.0,507778.0,75620.0,94454.0,37571.0,-7482.0,-261335.0,-130263.0,-7098.0,-10028.0,69.9,3255.7,,,17.0,,,,,,22635.54911,204.6,,,40.38,16068.0,1999-01-01
1440.1,2234.3,-780.9,2894.0,119.4,669.2,788.6,55.3,421.2,6102266.0,-539823.0,5562443.0,1822770.0,3912272.0,367223.0,349093.0,215736.0,-6014.0,838632.0,428570.0,-3247.0,119378.0,106763.0,143323.0,2961786.0,321617.0,386127.0,80920.0,51739.0,22038.0,-5352.0,-388969.0,-138169.0,-4657.0,-3338.0,69.4,2893.5,,,17.0,,,,,,22255.40046,203.3,,,40.59,15936.0,1999-02-01
1720.8,2684.4,-1221.1,3184.0,125.3,807.3,932.6,48.3,485.9,5813805.0,-667987.0,5145818.0,1827263.0,3705328.0,281214.0,481894.0,190531.0,-4545.0,872593.0,290672.0,-3882.0,64215.0,77145.0,140673.0,2797389.0,316199.0,364844.0,79694.0,54842.0,21126.0,-20181.0,-555089.0,-100432.0,-5937.0,-2301.0,69.3,3184.1,,,17.0,,,,,,22071.88767,201.7,,,40.78,15132.0,1999-03-01
1476.7,2270.0,-1170.9,2576.0,105.4,599.5,704.9,69.1,437.4,5769936.0,-280516.0,5489420.0,1721330.0,3817241.0,231364.0,353075.0,123346.0,-4963.0,939534.0,312560.0,-2222.0,79164.0,58360.0,96110.0,2886658.0,376433.0,330847.0,82891.0,55918.0,19311.0,-16574.0,-198045.0,-63503.0,-8938.0,-5983.0,69.5,2575.8,,,17.0,,,,,,22156.62565,203.0,,,40.91,16356.0,1999-04-01
1490.0,2562.7,-1062.7,2990.0,99.7,589.7,689.4,61.1,469.8,6712673.0,-310387.0,6402286.0,2033990.0,4419822.0,258861.0,532466.0,225771.0,-5981.0,953902.0,330442.0,-2610.0,57305.0,84995.0,118978.0,3484795.0,314568.0,295915.0,146625.0,58540.0,35025.0,-7317.0,-168122.0,-120381.0,-11809.0,-5313.0,69.8,2990.0,,,17.0,,,,,,21639.82417,202.4,,,41.0,15276.0,1999-05-01
1614.1,2180.3,-1134.0,2660.0,100.2,702.2,802.4,70.6,494.9,6124261.0,-565552.0,5558709.0,2167054.0,3661045.0,296162.0,361741.0,310925.0,-5416.0,1077013.0,425623.0,-2832.0,53308.0,90316.0,154056.0,2712433.0,314554.0,285251.0,105374.0,54729.0,116187.0,-10678.0,-284132.0,-266369.0,-5261.0,-4296.0,70.0,2660.4,,,17.0,,,,,,22018.61146,200.1,,,41.14,16368.0,1999-06-01
1568.5,2956.0,-1177.3,3347.0,104.0,683.9,787.9,80.1,474.0,7205185.0,-732897.0,6472288.0,2299758.0,4582114.0,323314.0,532234.0,482430.0,-5374.0,1026217.0,269683.0,-5432.0,75401.0,102925.0,147039.0,3569950.0,338771.0,375295.0,108960.0,67044.0,32012.0,-16004.0,-423324.0,-292361.0,-5804.0,-6515.0,70.2,3347.2,,,17.0,,,,,,22234.4462,202.7,,,41.36,16368.0,1999-07-01
1919.9,2366.5,-1088.2,3198.0,134.2,913.7,1047.9,77.9,542.4,6273720.0,-572022.0,5701698.0,1817429.0,4045610.0,410682.0,389926.0,210944.0,-4153.0,988304.0,233810.0,-1402.0,157035.0,86733.0,168547.0,3115631.0,309025.0,329899.0,105252.0,77108.0,24414.0,-12947.0,-249983.0,-304286.0,-7169.0,-4349.0,70.5,3198.2,,,17.0,,,,,,21878.76452,206.1,,,41.71,14808.0,1999-08-01
1526.1,3018.7,-1217.4,3327.0,124.7,697.2,821.9,90.9,439.0,6088800.0,-467816.0,5620984.0,2321385.0,3437384.0,330032.0,596968.0,207768.0,-4059.0,1179283.0,343104.0,-1679.0,105856.0,78068.0,147726.0,2774006.0,258923.0,157495.0,99635.0,67775.0,23186.0,-13616.0,-259264.0,-193985.0,-6048.0,-4167.0,70.9,3327.4,,,17.0,,,,,,21944.78793,204.0,,,42.16,13596.0,1999-09-01
1650.2,2200.9,-1113.2,2738.0,110.5,703.8,814.3,68.2,502.2,6834784.0,-686688.0,6148096.0,1912452.0,4596640.0,325693.0,365883.0,213514.0,-7764.0,1042235.0,302475.0,-3891.0,76299.0,90776.0,160979.0,3460834.0,313145.0,477844.0,82683.0,67533.0,56601.0,-17318.0,-425505.0,-248432.0,-4998.0,-4827.0,71.3,2737.9,,,17.0,,,,,,21781.09515,204.2,,,42.27,13272.0,1999-10-01
1911.0,3066.0,-1383.2,3594.0,111.1,848.7,959.8,63.8,481.5,6318104.0,-505231.0,5812873.0,2184394.0,3823314.0,310397.0,578233.0,150358.0,-7825.0,1049661.0,427166.0,-13199.0,63685.0,105405.0,149626.0,3029920.0,269824.0,233796.0,83102.0,69486.0,51243.0,-19264.0,-274052.0,-218981.0,-5165.0,-2550.0,71.2,3593.8,,,17.0,,,,,,21385.765,205.6,,,42.51,12924.0,1999-11-01
1838.5,2346.3,-1358.4,2826.0,120.8,776.4,897.2,61.6,449.3,6862855.0,-1168752.0,5694103.0,1866197.0,4485687.0,510971.0,364034.0,265776.0,-6995.0,612445.0,634260.0,-3323.0,226845.0,126921.0,161567.0,3451561.0,273333.0,413710.0,65333.0,75397.0,24969.0,-18991.0,-957681.0,-193446.0,-7845.0,-5134.0,71.2,2826.4,,,17.0,,,,,,22605.12872,200.5,,,42.61,15228.0,1999-12-01
1585.9,3359.3,-1353.1,3592.0,79.8,651.1,730.9,71.1,486.1,7863204.0,-373041.0,7490163.0,2477983.0,5050696.0,334523.0,4339.0,929820.0,-6380.0,172141.0,1382495.0,-4432.0,74796.0,92769.0,171464.0,4022630.0,350476.0,355581.0,71263.0,101429.0,108050.0,-80027.0,-225536.0,-122183.0,-13469.0,-6879.0,70.9,3592.0,,,17.0,,,,,,22090.37905,195.8,,,42.63,17856.0,2000-01-01
1802.2,2528.5,-1453.0,2878.0,109.9,839.0,948.9,50.0,450.3,7782240.0,-421943.0,7360297.0,2504026.0,4671984.0,606229.0,363724.0,238970.0,-6686.0,987264.0,923603.0,-2849.0,45228.0,243838.0,319653.0,3658159.0,374975.0,362326.0,70284.0,62444.0,40006.0,-12002.0,-298612.0,-106487.0,-6773.0,-3394.0,70.5,2877.7,,,17.0,,,,,,22063.01766,193.8,,,42.9,14532.0,2000-02-01
1954.2,3056.9,-1296.5,3715.0,137.7,891.0,1028.7,49.0,418.9,7426821.0,-352591.0,7074230.0,2437724.0,4738919.0,250178.0,558278.0,213534.0,-6399.0,1106511.0,568239.0,-2439.0,42922.0,88180.0,115756.0,3819638.0,364529.0,306696.0,64407.0,59601.0,43852.0,-16049.0,-230669.0,-102308.0,-8075.0,-4803.0,70.3,3714.6,,,17.0,,,,,,22765.08661,194.2,,,43.35,15048.0,2000-03-01
1719.6,2325.7,-1024.3,3021.0,111.3,761.4,872.7,60.3,443.3,6697422.0,-211571.0,6485851.0,2415264.0,3996389.0,285769.0,347805.0,393020.0,-2524.0,1181425.0,496103.0,-565.0,46368.0,92182.0,132817.0,3223902.0,340344.0,157446.0,89032.0,57234.0,58842.0,-7443.0,-138755.0,-60260.0,-5105.0,-3725.0,70.7,3021.0,,,17.0,,,,,,22301.97896,197.3,,,43.8,14640.0,2000-04-01
1931.7,3049.2,-1568.8,3412.0,136.9,771.3,908.2,61.5,509.6,8622917.0,-395440.0,8227477.0,2674718.0,5641987.0,306212.0,540585.0,318647.0,-7564.0,1088904.0,749819.0,-15673.0,44110.0,89419.0,159410.0,4555049.0,256234.0,497203.0,112236.0,65917.0,60276.0,-30503.0,-213477.0,-164065.0,-9303.0,-5313.0,71.3,3412.1,,,17.0,,,,,,22264.06141,197.9,,,44.14,13128.0,2000-05-01
